label,thresholds,f1_most
No Finding,0.2663316582914573,0.7251151
Atelectasis,0.1457286432160804,0.27826953
Consolidation,0.1306532663316583,0.14155433
Infiltration,0.2663316582914573,0.34517425
Pneumothorax,0.11055276381909548,0.2283105
Edema,0.09547738693467336,0.093780845
Emphysema,0.05025125628140704,0.14825374
Fibrosis,0.04020100502512563,0.055904165
Effusion,0.31155778894472363,0.40562248
Pneumonia,0.05527638190954774,0.059777968
Pleural_Thickening,0.07035175879396985,0.11972869
Cardiomegaly,0.04020100502512563,0.16161616
Nodule,0.11055276381909548,0.16855162
Mass,0.11055276381909548,0.20332618
Hernia,0.005025125628140704,0.00792752
