label,thresholds,f1_most
No Finding,0.2814070351758794,0.7236491
Atelectasis,0.38190954773869346,0.30330467
Consolidation,0.32160804020100503,0.19554816
Infiltration,0.44221105527638194,0.34669375
Pneumothorax,0.36180904522613067,0.24911718
Edema,0.3417085427135678,0.20443846
Emphysema,0.31155778894472363,0.1306076
Fibrosis,0.271356783919598,0.070408165
Effusion,0.4371859296482412,0.4301348
Pneumonia,0.23115577889447236,0.0655141
Pleural_Thickening,0.3165829145728643,0.13434626
Cardiomegaly,0.4371859296482412,0.26570547
Nodule,0.3065326633165829,0.11866519
Mass,0.3417085427135678,0.18130445
Hernia,0.1658291457286432,0.012851406
