label,thresholds,f1_most
No Finding,0.2864321608040201,0.72708964
Atelectasis,0.39195979899497485,0.29946092
Consolidation,0.3316582914572864,0.19679032
Infiltration,0.4371859296482412,0.342019
Pneumothorax,0.3768844221105528,0.26544118
Edema,0.3417085427135678,0.16312543
Emphysema,0.3015075376884422,0.11380597
Fibrosis,0.27638190954773867,0.07058824
Effusion,0.40703517587939697,0.43161407
Pneumonia,0.23618090452261306,0.06253257
Pleural_Thickening,0.32663316582914576,0.1433414
Cardiomegaly,0.35678391959798994,0.23782559
Nodule,0.32663316582914576,0.11965812
Mass,0.34673366834170855,0.19285163
Hernia,0.17587939698492464,0.032608695
