label,thresholds,f1_most
No Finding,0.32160804020100503,0.73719555
Atelectasis,0.1507537688442211,0.3074993
Consolidation,0.1306532663316583,0.1972067
Infiltration,0.25125628140703515,0.38162163
Pneumothorax,0.11055276381909548,0.2455368
Edema,0.10050251256281408,0.15900233
Emphysema,0.06532663316582915,0.11052844
Fibrosis,0.03015075376884422,0.06603384
Effusion,0.23115577889447236,0.4876944
Pneumonia,0.05025125628140704,0.062439963
Pleural_Thickening,0.07035175879396985,0.14715719
Cardiomegaly,0.08040201005025126,0.2772563
Nodule,0.1306532663316583,0.18043202
Mass,0.1457286432160804,0.20928991
Hernia,0.01507537688442211,0.020833334
