label,thresholds,f1_most
No Finding,0.2864321608040201,0.74065995
Atelectasis,0.1507537688442211,0.3402993
Consolidation,0.11055276381909548,0.20799181
Infiltration,0.20100502512562815,0.3863179
Pneumothorax,0.1658291457286432,0.26366162
Edema,0.1457286432160804,0.22208041
Emphysema,0.10552763819095477,0.1475797
Fibrosis,0.02512562814070352,0.06850871
Effusion,0.24623115577889448,0.48205444
Pneumonia,0.05025125628140704,0.07698002
Pleural_Thickening,0.10552763819095477,0.16941597
Cardiomegaly,0.21608040201005024,0.3109328
Nodule,0.07537688442211055,0.14511788
Mass,0.16080402010050251,0.21879159
Hernia,0.005025125628140704,0.01871102
