label,thresholds,f1_most
No Finding,0.38190954773869346,0.7324353
Atelectasis,0.12060301507537688,0.31180036
Consolidation,0.09547738693467336,0.17115177
Infiltration,0.24120603015075376,0.37237823
Pneumothorax,0.135678391959799,0.21649134
Edema,0.1708542713567839,0.17953488
Emphysema,0.05025125628140704,0.10417827
Fibrosis,0.035175879396984924,0.06065934
Effusion,0.18592964824120603,0.41473398
Pneumonia,0.05025125628140704,0.05733722
Pleural_Thickening,0.06030150753768844,0.15106261
Cardiomegaly,0.06532663316582915,0.11101083
Nodule,0.06030150753768844,0.121698916
Mass,0.10050251256281408,0.1881997
Hernia,0.005025125628140704,0.012738854
