label,thresholds,f1_most
No Finding,0.35678391959798994,0.7272275
Atelectasis,0.1507537688442211,0.30695257
Consolidation,0.135678391959799,0.1938883
Infiltration,0.18090452261306533,0.37692052
Pneumothorax,0.11557788944723618,0.23698384
Edema,0.08542713567839195,0.18577406
Emphysema,0.07035175879396985,0.114747785
Fibrosis,0.03015075376884422,0.062011465
Effusion,0.22110552763819097,0.43074277
Pneumonia,0.03015075376884422,0.05404001
Pleural_Thickening,0.07035175879396985,0.1433426
Cardiomegaly,0.135678391959799,0.14545454
Nodule,0.09547738693467336,0.14753805
Mass,0.11055276381909548,0.18901771
Hernia,0.010050251256281407,0.008873114
