label,thresholds,f1_most
No Finding,0.3869346733668342,0.72948587
Atelectasis,0.1507537688442211,0.3218258
Consolidation,0.11557788944723618,0.21206485
Infiltration,0.19597989949748743,0.37674776
Pneumothorax,0.11055276381909548,0.2573975
Edema,0.09547738693467336,0.21669853
Emphysema,0.07035175879396985,0.13348545
Fibrosis,0.03015075376884422,0.076537915
Effusion,0.17587939698492464,0.4414803
Pneumonia,0.03015075376884422,0.053793658
Pleural_Thickening,0.07035175879396985,0.13840087
Cardiomegaly,0.12060301507537688,0.20430107
Nodule,0.08542713567839195,0.14608985
Mass,0.09547738693467336,0.18600646
Hernia,0.010050251256281407,0.018450184
