label,thresholds,f1_most
No Finding,0.3869346733668342,0.73638064
Atelectasis,0.18090452261306533,0.32609308
Consolidation,0.11055276381909548,0.20009242
Infiltration,0.17587939698492464,0.37714386
Pneumothorax,0.09547738693467336,0.26453245
Edema,0.09045226130653267,0.20883535
Emphysema,0.06030150753768844,0.13456464
Fibrosis,0.035175879396984924,0.06779661
Effusion,0.20100502512562815,0.44815257
Pneumonia,0.06030150753768844,0.070028014
Pleural_Thickening,0.08542713567839195,0.15042458
Cardiomegaly,0.11055276381909548,0.26554105
Nodule,0.09045226130653267,0.14630301
Mass,0.1457286432160804,0.21756068
Hernia,0.010050251256281407,0.020891365
