label,thresholds,f1_most
No Finding,0.5326633165829145,0.7120551
Atelectasis,0.08542713567839195,0.26048893
Consolidation,0.035175879396984924,0.13972567
Infiltration,0.1457286432160804,0.34005183
Pneumothorax,0.01507537688442211,0.105532266
Edema,0.01507537688442211,0.09735849
Emphysema,0.005025125628140704,0.043752503
Fibrosis,0.03015075376884422,0.05192108
Effusion,0.09547738693467336,0.36517912
Pneumonia,0.01507537688442211,0.036753446
Pleural_Thickening,0.04020100502512563,0.099947944
Cardiomegaly,0.01507537688442211,0.06629271
Nodule,0.04522613065326633,0.114257246
Mass,0.05025125628140704,0.12065906
Hernia,0.005025125628140704,0.009029346
