label,thresholds,f1_most
No Finding,0.3417085427135678,0.735831
Atelectasis,0.1507537688442211,0.33193332
Consolidation,0.11557788944723618,0.20016186
Infiltration,0.19095477386934673,0.37837374
Pneumothorax,0.10552763819095477,0.27529287
Edema,0.10552763819095477,0.19858156
Emphysema,0.09045226130653267,0.13594954
Fibrosis,0.04020100502512563,0.09203798
Effusion,0.22613065326633167,0.46704045
Pneumonia,0.04020100502512563,0.0747782
Pleural_Thickening,0.08542713567839195,0.14090344
Cardiomegaly,0.135678391959799,0.27320755
Nodule,0.09045226130653267,0.16586018
Mass,0.10552763819095477,0.1971831
Hernia,0.005025125628140704,0.008798944
