label,thresholds,f1_most
No Finding,0.2964824120603015,0.7429329
Atelectasis,0.15577889447236182,0.34103245
Consolidation,0.1407035175879397,0.19114818
Infiltration,0.20100502512562815,0.37629724
Pneumothorax,0.18090452261306533,0.26490065
Edema,0.1457286432160804,0.20360552
Emphysema,0.06532663316582915,0.13664596
Fibrosis,0.04522613065326633,0.067617536
Effusion,0.24120603015075376,0.47576198
Pneumonia,0.04020100502512563,0.07105263
Pleural_Thickening,0.10050251256281408,0.1563981
Cardiomegaly,0.1708542713567839,0.29952607
Nodule,0.08542713567839195,0.14281088
Mass,0.11557788944723618,0.21752267
Hernia,0.005025125628140704,0.011029412
