label,thresholds,f1_most
No Finding,0.33668341708542715,0.7381308
Atelectasis,0.20100502512562815,0.32954067
Consolidation,0.09547738693467336,0.19718918
Infiltration,0.20100502512562815,0.38474527
Pneumothorax,0.10050251256281408,0.25692308
Edema,0.05025125628140704,0.18341824
Emphysema,0.06532663316582915,0.13147584
Fibrosis,0.03015075376884422,0.074074075
Effusion,0.31155778894472363,0.45707142
Pneumonia,0.02512562814070352,0.05618615
Pleural_Thickening,0.08542713567839195,0.14612214
Cardiomegaly,0.06030150753768844,0.20068611
Nodule,0.09547738693467336,0.18257527
Mass,0.09547738693467336,0.22730628
Hernia,0.005025125628140704,0.011083744
