label,thresholds,f1_most
No Finding,0.09547738693467336,0.73225176
Atelectasis,0.2613065326633166,0.32138154
Consolidation,0.10552763819095477,0.20210896
Infiltration,0.33668341708542715,0.3536662
Pneumothorax,0.21105527638190955,0.27817032
Edema,0.10552763819095477,0.21213406
Emphysema,0.11055276381909548,0.13852814
Fibrosis,0.06532663316582915,0.06464981
Effusion,0.2613065326633166,0.4599186
Pneumonia,0.04522613065326633,0.064579256
Pleural_Thickening,0.11055276381909548,0.16304792
Cardiomegaly,0.2964824120603015,0.30604982
Nodule,0.11557788944723618,0.12155575
Mass,0.16080402010050251,0.18974486
Hernia,0.010050251256281407,0.01718213
