label,thresholds,f1_most
No Finding,0.37185929648241206,0.7376291
Atelectasis,0.18090452261306533,0.3173164
Consolidation,0.12060301507537688,0.19721273
Infiltration,0.21105527638190955,0.37482646
Pneumothorax,0.10552763819095477,0.26213592
Edema,0.08040201005025126,0.15235792
Emphysema,0.06532663316582915,0.113372095
Fibrosis,0.04522613065326633,0.07178912
Effusion,0.23618090452261306,0.46229985
Pneumonia,0.035175879396984924,0.05474171
Pleural_Thickening,0.07537688442211055,0.13915662
Cardiomegaly,0.10050251256281408,0.23934181
Nodule,0.12562814070351758,0.17678571
Mass,0.12060301507537688,0.1821632
Hernia,0.02512562814070352,0.033195022
