label,thresholds,f1_most
No Finding,0.3165829145728643,0.73503083
Atelectasis,0.15577889447236182,0.32196602
Consolidation,0.11055276381909548,0.1837195
Infiltration,0.20100502512562815,0.37619895
Pneumothorax,0.12060301507537688,0.2546312
Edema,0.20603015075376885,0.19381443
Emphysema,0.07035175879396985,0.13874789
Fibrosis,0.04522613065326633,0.06628242
Effusion,0.271356783919598,0.4375093
Pneumonia,0.06532663316582915,0.06979543
Pleural_Thickening,0.09547738693467336,0.16559881
Cardiomegaly,0.18592964824120603,0.20512821
Nodule,0.06532663316582915,0.13132608
Mass,0.09547738693467336,0.20757082
Hernia,0.005025125628140704,0.006866953
